claim,experiment_family,evidential_status,campaign,registration_status,source_record,aggregate_table_section,manifest_file,manifest_sha256,archive_path
The exponent a compact tail rule needs is not the spectral slope,F2,"confirmatory, field level",R3,see campaign manifest,see campaign manifest,7.1,,,manifests/
The procedure transfers across products; the value does not,F2,"descriptive, model relative",R16,not recorded,r16_multibody_calibration.json; r6_lp150q_transfer.json,7.1,r16_final_experiment_manifest.json,0f7279d4f890ef3139501dee46b37350e6bbe2348f3eb343dd3127ca56f868a2,manifests/r16_final_experiment_manifest.json
Acceleration-level degree blending is non-conservative,"F5, F6","confirmatory, field level","R10, R11",not recorded,metrics/e4_blend_analysis.json; metrics/r10_blend_lro_convergence.json; metrics/r10_cases/blend_lro_convergence/corrected_blend_baseline.json; metrics/r10_cases/blend_lro_convergence/corrected_blend_tighter.json (+6 more),7.1,r10_final_experiment_manifest.json,f3f7a310c4f58e08297c374e1ef05b8b4af7484a3056d6de234f76a779ccd497,manifests/r10_final_experiment_manifest.json
Cheap empirical altitude-only schedules lose to fixed degrees over long arcs,"O19, O20, O27",confirmatory,"R11, R17",not recorded,r11_full_convergence.json; r11_designB_convergence.json; r17_longarc60.json,7.1,r11_final_experiment_manifest.json,11dc5a5686d48eeb4bb86654b7c442a28fd97c6c2a19ae0784b394900120b48f,manifests/r11_final_experiment_manifest.json
Given an accuracy target the published radial rule is accurate and expensive,O23 resolved by O24,confirmatory,"R12, R13",not recorded,r12_atallah_campaign.json; r12_atallah_campaign_designB.json; r12_atallah_verification.json,7.1,r12_final_experiment_manifest.json,e7d48ad03016e49028b528237fc5b2249aead1a218f7769425571f16784a2c23,manifests/r12_final_experiment_manifest.json
"At a declared budget, force and trajectory disagree",O25 against O26,confirmatory,R14,not recorded,r14_budget_pareto.json; r14_variational_budget.json,7.2,r14_final_experiment_manifest.json,f5633dff329fcf556fc08df1f82f9180f9b7bd96f6d703194949272be6ba05e5,manifests/r14_final_experiment_manifest.json
"The disagreement is dynamical filtering, not numerical noise","O38, gradient degree audited by O40",mechanism; resolved-only scoring declared post hoc,"R37, R39","pre-registered. The selection rule, the nested level chain, the wall clock and the rule that a truncated level is never reported as a panel were all fixed in r37_preregistration.json before any orbit outside the archived eight was solved. The scoring amendment is post hoc and says so.",r37_variational_extension.json; r39_gradient_degree_panel.json,7.2,r37_final_experiment_manifest.json,61ec08e210d6ce130879689ff2495cc224f84380795ad53d9dd2e28c25d6181d,manifests/r37_final_experiment_manifest.json
"Within the tested family, an intermediate span beats both endpoints","O28, O29, O35",exploratory; budget dependent below beta 0.75,"R18, R19, R29",not recorded,r18_span_sweep_A_beta_0.50.json; r18_span_sweep_A_beta_1.00.json; r18_span_sweep_A_beta_1.50.json; r18_span_sweep_B_beta_0.50.json (+9 more),7.3,r18_final_experiment_manifest.json,bf8c3ec8396bbc5d39dd097a4bbc656e1759587f6103581a283ec655544d6e83,manifests/r18_final_experiment_manifest.json
Where inside the factor box that allocation result holds,O36,"locating, one stratum of five declared",R30,"pre-registered. Designs, sub-boxes, seed rule, outcomes, the no-pooling rule and the reduced base scope were all fixed in r30_preregistration.json before any stratum propagated.",r30_budget_pareto_high_apolune.json; r30_high_apolune_convergence.json; r30_high_apolune_operating_point.json; r30_high_apolune_rows.json,S17,r30_final_experiment_manifest.json,39cc4ca003def51b3a067882386fea3f4e50f25c501a08ab981c1a8fb0cb5958,manifests/r30_final_experiment_manifest.json
Outside the factor box the endpoint comparison reverses,O37 with ceiling control O39,registered scope extension,"R31, R38","pre-registered. Designs, sub-boxes, seed rule, outcomes, the no-pooling rule and the reduced base scope were all fixed in r30_preregistration.json before any stratum propagated.",r31_budget_pareto_operational_elliptical.json; r31_operational_elliptical_convergence.json; r31_operational_elliptical_operating_point.json; r31_operational_elliptical_rows.json (+4 more),S18,r31_final_experiment_manifest.json,3be0cce892f3fc3496ad7ba3d36d0c2d18b853bea93e52a26343ad47198f1e61,manifests/r31_final_experiment_manifest.json
