item,document,label,claim,artifact,script,campaign,manifest,defined_in
Figure 1,main,fig:spectrum,Per-coefficient RMS spectrum of JGGRX\_1800F with power-law fits over the observationally dominated band (n ) and the full range,fig_spectrum.pdf,make_figures_r1.py,R1,,chapters/07_results.tex
Figure 2,main,fig:criteria,Truncation criteria against the model-relative empirical reference (log--log),fig_truncation.pdf,make_figures_r1.py,R1,,chapters/07_results.tex
Figure 3,main,fig:orbit,"24-hour RMS position error versus truncation degree for the 100~km circular polar orbit at two tolerance settings, with the baseline-tolerance integration floor",fig_orbit_error.pdf,make_figures_r1.py,R1,,chapters/07_results.tex
Figure 4,main,fig:blendenergy,Signed (upper) and absolute-log (lower) relative specific-energy error over the band-crossing orbit,fig_blend_energy.pdf,make_figures_r2.py,R2,,chapters/07_results.tex
Figure 5,main,fig:sobol-confirmatory,Confirmatory scrambled-Sobol design,fig_sobol_confirmatory.pdf,rev10_finalize_manifest.py; rev10_manuscript_assets.py,R10,metrics/r10_final_experiment_manifest.json,chapters/07_results.tex
Figure 6,main,fig:budget-pareto,"Force-defect curves and propagated trajectory operating points for radial and constant-degree truncation, one column per independent design",budget_pareto.pdf,make_figures_r14.py; rev14_deliverables.py; rev14_finalize_manifest.py,R14,metrics/r14_final_experiment_manifest.json,chapters/08_budget.tex
Figure 7,main,fig:variational-parity,Equal-budget error ratio =E_ fixed,fig_variational_parity.pdf,make_figures_r19.py,R19,metrics/r19_final_experiment_manifest.json,chapters/08_budget.tex
Figure 8,main,fig:span-curve,"The interpolation path at the critical degree's own nominal per-call budget ( =1), plotted against the degree span each member actually runs",fig_span_curve.pdf,make_figures_r20.py,R20,metrics/r20_final_experiment_manifest.json,chapters/08_budget.tex
Table 1,main,tab:related,Adjacent degree-selection studies and the aspects measured in each,(inline),,,,chapters/02_related.tex
Table 2,main,tab:claim-map,What carries what,(inline),,,,chapters/05_setup.tex
Table 3,main,tab:criteria,Recommended truncation degree: model-relative empirical reference and closed-form rules,(inline),,,,chapters/07_results.tex
Table 4,main,tab:static-selection,Practical static selections,review_static_selection_table.tex,review_postprocess.py,,,chapters/07_results.tex
Table 5,main,tab:transfer,Transfer of the calibration procedure,r16_transfer_table.tex,rev16_finalize_manifest.py; rev16_tables.py,R16,metrics/r16_final_experiment_manifest.json,chapters/07_results.tex
Table 6,main,tab:blend,Physics of four degree-transition policies on a common band,(inline),,,,chapters/07_results.tex
Table 7,main,tab:longarc,"7-day eccentric arc (50 300~km polar), tight tolerance: position error against the N=300 adopted reference, quadratic gravity-work proxy (fixed N=138 = 1), meas",(inline),,,,chapters/07_results.tex
Table 8,main,tab:atallah-benchmark,"Direct Atallah radial-adaptive benchmark on the 64-orbit design-A set, perilune-tolerance matched to the critical fixed degree's perilune error target and appli",r12_atallah_benchmark_table.tex,rev12_finalize_manifest.py,R12,metrics/r12_final_experiment_manifest.json,metrics/r12_atallah_benchmark_table.tex
