item,document,label,claim,artifact,script,campaign,manifest,defined_in
Figure 1,main,fig:spectrum,"Per-coefficient RMS spectrum of GL1800F with power-law fits (upper), and the degree each rule asks for against the empirical one-percent tail budget (lower)",fig_spectrum.pdf,make_figures_r1.py,R1,,chapters/07_results.tex
Figure 2,main,fig:allocation-anatomy,"Allocation anatomy at β=1 on a radially representative design-A orbit: altitude, the degree histories one nominal per-call budget buys, and the displacement each leaves",fig_allocation_anatomy.pdf,make_figures_allocation_anatomy.py,R66,metrics/r66_final_experiment_manifest.json,chapters/08_budget.tex
Figure 3,main,fig:budget-pareto,"Force defect (upper) and seven-day error (lower) against normalized budget β: design medians with p10--p90 bands, grey fractions the unresolved comparisons",budget_pareto.pdf,make_figures_r14.py; rev14_finalize_manifest.py,R14,metrics/r14_final_experiment_manifest.json,chapters/08_budget.tex
Figure 4,main,fig:variational-parity,"Predicted against propagated error ratio ρ _budget on the 128-orbit panel, at equal nominal per-call budget. Inset: the constant-degree comparator's calibration",fig_variational_parity.pdf,make_figures_r19.py; rev42_finalize_manifest.py,R42,metrics/r42_final_experiment_manifest.json,chapters/08_budget.tex
Figure 5,main,fig:allocation-interior,Seven-day error across the five-member allocation family at β=1 under nominal operation counts. The k=0.5 candidate is tested under measured-time matching in Section ref sec:results-span-interior,fig_allocation_interior.pdf,make_figures_r60_interior.py,R60,metrics/r60_final_experiment_manifest.json,chapters/08_budget.tex
Figure 6,main,fig:regime-map,"Gravity-only regime map: the budget-calibrated radial endpoint against its equal-budget constant degree, by population, ceiling-free repropagation, and apolune level of the paired ladder",fig_regime_map_main.pdf,make_figures_r36_regime.py,,,chapters/08_budget.tex
Table 1,main,tab:budget-headline,The equal nominal per-call budget comparison at the declared budget β=1. ρ _budget=E_fix/E_rad is the median of per-orbit ratios and exceeds unity where radial allocation wins. Comparisons failing the resolution rule are reported as undecided,r14_trajectory_pareto_headline_table.tex,rev14_tables.py; rev60_finalize_manifest.py,R60,metrics/r60_final_experiment_manifest.json,chapters/08_budget.tex
Table 2,main,tab:replication,"Three replications of the β=1 comparison, each replacing one element of the primary construction. Denominators are stated per row",(inline),,,,chapters/08_budget.tex
Table 3,main,tab:instrument-ladder,"The four instruments applied to the equal nominal per-call budget comparison at β=1, ordered by how much of the dynamics each carries, over all 64 orbits of each design. Counts are raw metric orderings; the evidential verdicts of Table ref tab:budget-headline apply the resolution criterion of Eq. eqref eq:resolved",r34_instrument_ladder_table.tex,rev34_instrument_ladder.py; rev42_finalize_manifest.py; rev42_instrument_ladder.py,R42,metrics/r42_final_experiment_manifest.json,chapters/08_budget.tex
Table 4,main,tab:measured-time,"Both policies against a constant degree matched on measured gravity-kernel time, over every orbit of each design at β=1; the endpoint rows are the result reported in Section ref sec:budget-trajectories. Counts are resolved comparisons under Eq. eqref eq:resolved; ρ =E_fixed/E_variable, so values above unity favor the variable policy. The time ratio is the comparator's measured smash T_grav over the variable policy's. Both medians are over all 64 orbits of a design; the win counts use only the resolved comparisons",r68_measured_time_summary_table.tex,rev68_finalize_manifest.py; rev68_tables.py,R68,metrics/r68_final_experiment_manifest.json,chapters/08_budget.tex
